query_id,data_id,dist
0,97,117968
0,22,130811
0,26,137002
0,96,139381
0,93,150473
0,24,151326
0,43,155027
0,25,159383
0,99,175760
0,81,179795
1,97,88054
1,22,105813
1,96,112791
1,26,115890
1,43,132061
1,93,144727
1,25,147033
1,94,153765
1,24,154508
1,76,161374
2,57,73582
2,71,80420
2,12,84921
2,55,95491
2,78,98789
2,4,100005
2,18,107235
2,10,112100
2,8,114880
2,20,115526
3,97,86488
3,96,98557
3,26,112910
3,22,120137
3,43,135397
3,93,139245
3,25,140059
3,94,141019
3,24,142134
3,42,191395
4,73,89798
4,92,100608
4,85,117374
4,60,122856
4,78,127030
4,20,127647
4,0,130890
4,56,131466
4,70,135196
4,29,140187
5,96,124654
5,45,166558
5,22,170758
5,97,172499
5,26,173899
5,25,179376
5,49,184245
5,37,185072
5,93,191260
5,38,191776
6,97,106638
6,96,122149
6,25,124929
6,24,129564
6,22,142353
6,26,144584
6,42,148543
6,94,156051
6,93,160195
6,84,175882
7,36,64445
7,44,68729
7,98,72014
7,48,73269
7,80,75762
7,46,93235
7,40,102301
7,67,112916
7,34,114678
7,83,137536
8,73,73422
8,0,94088
8,2,95606
8,92,102352
8,79,103018
8,60,103998
8,78,106196
8,85,106510
8,57,108869
8,58,112254
9,73,89021
9,85,92745
9,92,93861
9,60,102759
9,54,104474
9,88,109030
9,51,111492
9,78,112657
9,56,112949
9,64,117865
