query_id,data_id,dist
0,97,117968.000000
0,22,130811.000000
0,26,137002.000000
0,96,139381.000000
0,93,150473.000000
0,24,151326.000000
0,43,155027.000000
0,25,159383.000000
0,99,175760.000000
0,81,179795.000000
1,97,88054.000000
1,22,105813.000000
1,96,112791.000000
1,26,115890.000000
1,43,132061.000000
1,93,144727.000000
1,25,147033.000000
1,94,153765.000000
1,24,154508.000000
1,76,161374.000000
2,57,73582.000000
2,71,80420.000000
2,12,84921.000000
2,55,95491.000000
2,78,98789.000000
2,4,100005.000000
2,18,107235.000000
2,10,112100.000000
2,8,114880.000000
2,20,115526.000000
3,97,86488.000000
3,96,98557.000000
3,26,112910.000000
3,22,120137.000000
3,43,135397.000000
3,93,139245.000000
3,25,140059.000000
3,94,141019.000000
3,24,142134.000000
3,42,191395.000000
4,73,89798.000000
4,92,100608.000000
4,85,117374.000000
4,60,122856.000000
4,78,127030.000000
4,20,127647.000000
4,0,130890.000000
4,56,131466.000000
4,70,135196.000000
4,29,140187.000000
5,96,124654.000000
5,45,166558.000000
5,22,170758.000000
5,97,172499.000000
5,26,173899.000000
5,25,179376.000000
5,49,184245.000000
5,37,185072.000000
5,93,191260.000000
5,38,191776.000000
6,97,106638.000000
6,96,122149.000000
6,25,124929.000000
6,24,129564.000000
6,22,142353.000000
6,26,144584.000000
6,42,148543.000000
6,94,156051.000000
6,93,160195.000000
6,84,175882.000000
7,36,64445.000000
7,44,68729.000000
7,98,72014.000000
7,48,73269.000000
7,80,75762.000000
7,46,93235.000000
7,40,102301.000000
7,67,112916.000000
7,34,114678.000000
7,83,137536.000000
8,73,73422.000000
8,0,94088.000000
8,2,95606.000000
8,92,102352.000000
8,79,103018.000000
8,60,103998.000000
8,78,106196.000000
8,85,106510.000000
8,57,108869.000000
8,58,112254.000000
9,73,89021.000000
9,85,92745.000000
9,92,93861.000000
9,60,102759.000000
9,54,104474.000000
9,88,109030.000000
9,51,111492.000000
9,78,112657.000000
9,56,112949.000000
9,64,117865.000000
