query_id,data_id,dist
0,97,343.464691
0,22,361.678040
0,26,370.137817
0,96,373.337646
0,93,387.908508
0,24,389.006439
0,43,393.734680
0,25,399.227997
0,99,419.237396
0,81,424.022400
1,97,296.738953
1,22,325.289093
1,96,335.843719
1,26,340.426208
1,43,363.401978
1,93,380.430023
1,25,383.448822
1,94,392.128815
1,24,393.075043
1,76,401.713837
2,57,271.260010
2,71,283.584198
2,12,291.412079
2,55,309.016174
2,78,314.307159
2,4,316.235657
2,18,327.467560
2,10,334.813385
2,8,338.939514
2,20,339.891144
3,97,294.088409
3,96,313.937897
3,26,336.020844
3,22,346.607849
3,43,367.963318
3,93,373.155457
3,25,374.244568
3,94,375.524963
3,24,377.006622
3,42,437.487152
4,73,299.663147
4,92,317.187653
4,85,342.598877
4,60,350.508209
4,78,356.412689
4,20,357.277191
4,0,361.787231
4,56,362.582397
4,70,367.690094
4,29,374.415558
5,96,353.063721
5,45,408.115173
5,22,413.228760
5,97,415.329987
5,26,417.011993
5,25,423.528046
5,49,429.237701
5,37,430.199951
5,93,437.332825
5,38,437.922363
6,97,326.554749
6,96,349.498199
6,25,353.452972
6,24,359.949982
6,22,377.296967
6,26,380.242035
6,42,385.412781
6,94,395.032898
6,93,400.243683
6,84,419.382874
7,36,253.860199
7,44,262.162170
7,98,268.354248
7,48,270.682465
7,80,275.248993
7,46,305.344055
7,40,319.845276
7,67,336.029755
7,34,338.641418
7,83,370.858459
8,73,270.964935
8,0,306.737671
8,2,309.202209
8,92,319.924988
8,79,320.964172
8,60,322.487213
8,78,325.877289
8,85,326.358704
8,57,329.953033
8,58,335.043274
9,73,298.363861
9,85,304.540649
9,92,306.367432
9,60,320.560455
9,54,323.224365
9,88,330.196899
9,51,333.904175
9,78,335.644165
9,56,336.078857
9,64,343.314728
